file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,baseline_rate_hz,n_epochs_per_size,pre_time_ms,spikes_pre_mean,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,4.66666666666667,1.33333333333333,1.63299316185545,16.3333333333333,0.816496580927726,1200,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0,0,0,0,30,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0,0,0,0,42,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0.333333333333333,0.408248290463863,2.66666666666667,0.816496580927726,59,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0.666666666666667,0.816496580927726,13,1.87082869338697,82,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,5.33333333333333,1.47196014438797,24,3.74165738677394,115,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,16.6666666666667,0.408248290463863,25,2.12132034355964,160,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,14.6666666666667,1.47196014438797,12.3333333333333,1.47196014438797,224,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,5.66666666666667,2.48327740429189,5,2.12132034355964,314,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0.666666666666667,0.408248290463863,0.333333333333333,0.408248290463863,439,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0.333333333333333,0.408248290463863,1.66666666666667,1.47196014438797,614,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0.333333333333333,0.408248290463863,0.333333333333333,0.408248290463863,858,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,4,SpotsMultiSize_Cell_attached_Current_clamp,5,10976,1,4273,Left,0,3,500,0,0.333333333333333,0.408248290463863,2.33333333333333,1.08012344973464,1200,1000,1000,012926Ac13,Local edge detector,ventral down,chow,13,-1741,-662,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1,2,0.707106781186547,1.66666666666667,0.816496580927726,30,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1.33333333333333,4.33333333333333,1.77951304200522,1.66666666666667,0.408248290463863,42,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1,6.33333333333333,1.08012344973464,1.66666666666667,0.816496580927726,59,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1,8.66666666666667,0.816496580927726,6.66666666666667,0.408248290463863,82,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,0.333333333333333,11.3333333333333,1.08012344973464,11,0.707106781186547,115,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
