file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,177.328918743404,79.122864985588,93.6686583989962,68.4551291159326,694.391,20,754.948295073857,3,384.411763747556,112.014473006078,342.441616007871,84.7435605053968,500,50000,115,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,209.05589794233,64.63884051712,81.2567684080617,40.166670686678,694.391,20,631.828605078186,3,448.364337647312,105.281599445938,344.888051957996,62.9430584170734,500,50000,160,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,247.058853782023,20.3704050125174,180.331560811834,57.1437460166817,694.391,20,664.352819195914,3,462.590007020098,53.5477574140752,405.592171376214,30.44453359218,500,50000,224,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,183.529279763497,37.9269214580045,111.906969657467,9.24947502611046,694.391,20,736.915056710218,3,388.538209650937,21.7940745892944,308.569505452254,32.8023060426821,500,50000,314,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,151.346864024912,39.0019878386819,79.0835134094678,46.928670350707,694.391,20,628.07168901742,3,321.365610666502,99.4501139808746,258.571385556798,64.0071002913697,500,50000,439,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,63.3410068791199,62.2665237443779,31.5987520828438,20.7588278123983,694.391,20,681.205299990759,3,256.364234338208,82.9803792435923,202.371934042173,35.9095881416121,500,50000,614,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,111.931316100037,36.4151428986167,38.8603565268507,22.7833935104878,694.391,20,662.957395711618,3,355.158965177416,18.2453658635906,221.84197152671,21.6841295209749,500,50000,858,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,88.8914918233567,27.4191803683688,18.9182343559606,5.84191664246516,694.391,20,678.092418457176,3,335.761960380106,61.2686434286357,218.224053172902,4.29108516575932,500,50000,1200,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-37.4419788183694,10.0072695656269,2.38857581294625,10.0847470129597,-34.9283,-60,-96.211771188666,3,-136.253070181578,10.1242465100695,-107.185168908665,31.8644442786771,500,50000,30,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-76.1442496458478,4.46686644392699,-16.6723298274096,13.5289474977808,-34.9283,-60,-18.8405351893576,3,-185.621136143241,17.1333323484895,-91.4188230697459,9.43539851902211,500,50000,42,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
