file_name,dataset_name,source_id,cell_unid,animal_id,side,depol_overshoot_max,pre_time_ms,sag_amplitude,stim_time_ms,vrest,cell_name,cell_type,feeding_condition,x,y,quadrant,capacitance_mean,current_max_number_of_spike_max,depol_overshoot_mean,first_ap_peak_amplitude_mean,first_ap_trough_amplitude_mean,first_current_level_to_block_mean,half_max_spike_current_mean,half_max_spike_number_mean,half_width_time_mean,isi_cv_at_max_spikes_mean,max_adaptation_index_max,max_ahp_after_depol_injection_max,max_isi_cv_max,max_latency_of_spike_max,max_number_of_spike_max,max_slope_max,resistance_mean,resting_vm_mean,sag_mean,spontaneous_firing_rate_mean,tau_mean,v_threshold_mean
020326A,MultiPulse_Whole_cell_Voltage_clamp,4,11060,4276,Left,60.6047,500,13.7343,500,-54.0708,020326Ac11,ON alpha,HFD,-857,379,DT,20051.7933280443,500,45.7261287622704,3.17298275196318,-55.3385235276245,999,199.114967307692,42.3888888888889,0.593333333333333,0.22174116414343,0.116827546761848,-13.1022599508062,0.802237768690739,155.4,81,283.379840213608,65.7409495294126,-51.9621634018929,NaN,12.8888888888889,13031.8425340846,-49.1556842373692
020326A,MultiPulse_Whole_cell_Voltage_clamp,5,11066,4276,Left,56.5311,500,16.5359,500,-57.3777,020326Ac17,ON alpha,HFD,-465,283,DT,41218.958949846,500,29.0947398644632,1.57897266371371,-54.4368592574033,27.14076,257.439238201058,30.7444444444444,0.44,0.277404748109186,0.146905552989226,-8.4265308975794,0.888347683555484,376.64,64,310.751774043013,55.0263841592712,-57.3777232221731,NaN,0.977777777777778,16985.4838941124,-56.8896008049013
020326A,MultiPulse_Whole_cell_Voltage_clamp,15,11068,4276,Left,44.6323,500,6.34385,500,-59.363,020326Ac19,ON transient medium RF,HFD,-514,321,DT,1236.21235209456,300,9.63061782519247,-2.23056079088117,-59.21780356815,444.431333333333,231.420840909091,10.5,0,0.495679895293205,0.483146661731708,-4.44554600363309,1.0673193097844,17.76,21,14.49101878436,62.3835034603551,-59.3629572025746,NaN,0,785.023900101191,-58.4127469767972
020326A,MultiPulse_Whole_cell_Voltage_clamp,16,11077,4276,Left,56.9658,500,11.5284,500,-58.6197,020326Ac9,ON transient medium RF,HFD,-932,592,DT,2682.21050829884,300,18.5334699390726,10.3701789999153,-59.154495852354,77.3846333333333,112.607381944444,11.3333333333333,0,0.216232858954842,0.223256208745102,-4.32988230895726,1.86094310376747,44.78,29,7.24551751927542,69.566687418181,-58.6196580024333,NaN,0,1865.21472503471,-58.5050828016102
020326A,MultiPulse_Whole_cell_Voltage_clamp,18,11065,4276,Left,55.2108,500,4.95916,500,-50.969,020326Ac16,OFF transient alpha,HFD,-523,288,DT,9923.73310146782,359.843,50.0766535479097,4.30542765243229,-53.3419812377287,999,159.6383,17.4888888888889,0.3,0.730856781619074,0.541968222277681,-7.69757670419103,3.51176721458584,424.66,38,373.546093839982,49.164799205847,-50.9690174709109,NaN,4.62222222222222,4848.10454229752,-49.5582120455434
020326A,MultiPulse_Whole_cell_Voltage_clamp,19,11076,4276,Left,51.1855,500,17.0994,500,-58.3404,020326Ac8,HD1,HFD,-625,564,DT,41.0618869787543,223.929,38.0630665764371,-1.83983060329442,-54.0665328525703,999,58.3665371428571,31,1.05333333333333,0.126254242064619,0.227508974787757,-0.264698753599532,0.623199797610815,141.6,65,99.021919252985,173.371116985012,-58.3404285507219,NaN,2.66666666666667,72.4316105739127,-54.1792408915852
020326B,MultiPulse_Whole_cell_CC,4,11026,4276,Right,63.5305,500,0.579894,500,-55.8926,020326Bc12,unclassified,HFD,836,140,DT,25.3101086347749,300,54.0117020915203,8.77855731180829,-53.9358415910519,668.23285,89.9275613888889,34.9666666666667,0.733333333333333,0.197882913459967,0.418467812408972,-6.75872254798821,0.591802855725368,150.06,71,167.524763294592,242.927274786796,-55.8926334311536,NaN,1.2,61.6285381607106,-52.9478750055442
020326B,MultiPulse_Whole_cell_CC,9,11019,4276,Right,51.1273,500,10.9535,500,-46.1457,020326Bc5,OFF sustained alpha,HFD,613,54,DT,15914.2551928493,167.147,44.7312595142118,0.617094288826067,-48.2442949671559,999,67.622409047619,31.7444444444444,0.486666666666667,0.29051336858413,0.107901389054702,-11.8718040397518,1.98807696977943,29.78,48,211.016767587365,86.3612807159388,-46.1456858305341,NaN,34.9777777777778,13709.1691879364,-47.8469605820811
020326B,MultiPulse_Whole_cell_CC,10,11030,4276,Right,67.2354,500,9.50381,500,-58.4427,020326Bc16,ON-OFF DS - dorsal,HFD,674,469,DT,8.66616636652751,300,26.1660796503191,10.335678599379,-58.6072053979842,63.6377,172.246864814815,35.1666666666667,0,0.193205935234425,0.281029648170304,-8.42740770523022,0.925757054264797,36.02,73,35.4379325451799,75.4553560880832,-58.4427092159938,NaN,0,5.9152007913985,-58.3494749790704
020326B,MultiPulse_Whole_cell_CC,11,11016,4276,Right,66.3011,500,12.2422,500,-54.6889,020326Bc2,ON-OFF DS - temporal,HFD,503,288,DT,9.44449764139457,300,42.7553267875823,15.1788626661272,-54.8056817391662,342.376533333333,137.947303921569,39.1666666666667,0,0.161130555011144,0.261671259692654,-9.36971724709326,0.668582894344853,71.52,81,37.0487472518548,104.358300758847,-54.6889012827117,NaN,0,9.70703777471455,-54.2794821404812
020326B,MultiPulse_Whole_cell_CC,12,11024,4276,Right,48.7433,500,19.0721,500,-52.9488,020326Bc10,ON vertical OS large RF,HFD,818,120,DT,28.8674196124169,167.147,34.5186922396685,1.22920401338036,-52.9371362317374,19.8206033333333,69.1899027777778,17.1666666666667,0,0.461769245713325,0.541035384691309,-8.98797851839049,0.773802758174919,93.2,37,37.0487472103047,97.4423191474655,-52.9488244047991,NaN,0,28.1880623669174,-51.9813859461866
020326B,MultiPulse_Whole_cell_CC,13,11020,4276,Right,50.9018,500,4.51028,500,-48.9113,020326Bc6,OFF transient alpha,HFD,579,-22,VT,9774.21252675412,300,30.4358130959525,-0.585647611368133,-51.5410964874406,22.2864666666667,63.3972955555556,2.75555555555556,0.286666666666667,0.125831662564974,0.586939188824199,-6.32737715744442,1.2371593343411,461.46,6,207.79513777831,53.151710895001,-48.9113173362988,NaN,0.355555555555556,5183.97392710922,-47.9221319532151
020326B,MultiPulse_Whole_cell_CC,14,11022,4276,Right,49.4842,500,4.60693,500,-54.5083,020326Bc8,OFF transient medium RF,HFD,834,110,DT,13.6698615354545,300,29.4564375289149,-5.74025575003581,-54.2580046088527,14.1918033333333,153.916328042328,27.6666666666667,0,0.435528878787642,0.728637413394919,-5.1151873352532,1.03044891207555,72.32,56,33.8271169975751,65.9492364291073,-54.508328207653,NaN,0,9.06470705616995,-53.5062908980632
020326B,MultiPulse_Whole_cell_CC_-500_500,3,11018,4276,Right,54.51,500,7.40975,500,-58.8625,020326Bc4,ON alpha,HFD,601,228,DT,36.8992921679117,500,27.5019820401205,1.7124485319972,-58.1776547024879,379.316533333333,253.654305490524,32.1777777777778,0.14,0.230572544202799,0.527929719874026,-8.42267725974582,0.746605369825677,467.82,68,272.227737936135,64.3363709170697,-58.8624652889952,NaN,0.0444444444444444,24.842019204431,-57.9521405855291
020326B,MultiPulse_Whole_cell_CC_-500_500,5,11029,4276,Right,55.7986,500,8.76284,500,-51.0432,020326Bc15,OFF transient alpha,HFD,722,449,DT,4447.89572260088,258.974,50.6483201344423,3.69912043527595,-55.1171059919371,241.562,98.8506809259259,13.2555555555556,0.313333333333333,0.708958240322424,0.21396090993489,-10.237543697303,1.46702759851309,78.58,25,338.271153626115,52.0079244974113,-51.0432087160435,NaN,5.68888888888889,2314.21869041347,-50.0591466190084
020326B,MultiPulse_Whole_cell_CC_-500_500,7,11015,4276,Right,60.5989,500,6.41104,500,-50.5849,020326Bc1,ON alpha,HFD,718,179,DT,25797.7080364517,500,41.8704521614369,0.617094290381373,-49.7047673036949,999,206.180080769231,39.1,0.533333333333333,0.255560567144227,0.0732487341227616,-11.2580714701395,1.57278442778303,323.08,68,252.89795732451,60.2553814895198,-50.5849197835215,NaN,28.4,14996.1830906584,-45.8388111548862
