file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,cell_number,x,y,quadrant
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,73.3213285733212,6.95314756885262,-44.7628386787616,8.53088557668713,-351.844,-60,-356.779538693576,3,168.213319511332,17.4061440105495,-246.659028542006,25.4632260151173,500,10000,59,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,97.2666908281354,6.89880705169466,-67.5724895507224,6.76396023798271,-351.844,-60,-357.423583587353,3,187.709992378851,4.89648119577314,-276.217118259959,18.8398317721155,500,10000,82,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,119.411906397836,8.28145577008831,-79.4928327430096,7.12796487042929,-351.844,-60,-372.021936848484,3,201.897291132128,4.84618224036471,-291.226532408161,11.2331506129742,500,10000,115,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,148.694678219039,11.5148069394998,-87.9660318368831,6.70948081748046,-351.844,-60,-346.689498916099,3,213.688414610718,11.8747462264101,-307.666043123727,17.2707456904969,500,10000,160,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,173.026233811927,0.972711318085559,-62.4042513009639,3.60003860870975,-351.844,-60,-393.382762334365,3,248.916038331381,7.53224513558209,-308.612286017238,15.2864527377464,500,10000,224,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,187.78711394265,7.84958060018537,-43.9560397357216,2.46322400029915,-351.844,-60,-369.123733893666,3,253.231925722941,10.2843384073984,-292.703564605031,21.9421556815532,500,10000,314,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,181.403179448817,2.05475930814517,-60.3264837415159,3.51401128972756,-351.844,-60,-333.486578292456,3,249.707754522718,1.82717556531016,-317.051868173123,28.8033694249186,500,10000,439,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,188.343774915657,5.65473525415451,-59.953721641253,2.66254237872722,-351.844,-60,-344.542682521898,3,255.775196979773,2.30492684371744,-299.713636516723,31.8108372182718,500,10000,614,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,178.025918385375,5.89105761184586,-68.9187958076756,10.4455909457195,-351.844,-60,-376.208229288319,3,250.240296462663,5.28576110252911,-296.661265864047,21.2463974336372,500,10000,858,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,185.379416290854,13.7443329749597,-66.3134836612172,7.76125199407372,-351.844,-60,-324.255268122596,3,261.381752531591,13.208582973086,-292.282270917916,19.307639490747,500,10000,1200,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,37.3884258672582,7.75933513605751,-9.47993080831156,3.11667608353523,435.952,20,456.004626619548,3,348.060448543448,65.3296532103774,194.88539355125,43.1133327902569,500,10000,30,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,61.5516882195468,4.44404905893252,-11.2831468097932,2.13393193483765,435.952,20,422.299656142477,3,502.738151866979,48.1254143279988,263.475968409759,11.6912152888972,500,10000,42,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,198.056955473612,26.766156590833,3.71822581939361,8.50414350614175,435.952,20,414.034423542203,3,703.178987481107,62.1932897549421,409.817225154866,63.0778949150984,500,10000,59,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,387.340876740099,15.7662137916103,32.7076367771827,8.16719058589287,435.952,20,423.587744156245,3,884.819185139513,22.6550613394755,621.727559181119,15.1145704889892,500,10000,82,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,523.357697569254,21.3291916459681,56.2909854598244,7.70973694131308,435.952,20,424.661151368601,3,941.563937369204,45.3899159839398,681.048506255324,49.995023130131,500,10000,115,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,590.216429215304,11.3247364502015,86.9744784335981,10.3925318610944,435.952,20,445.163218721462,3,1015.85159836793,22.6735797360236,740.201188940121,56.5204065124533,500,10000,160,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,546.400066478604,12.3039645275956,66.4606324638457,3.83914043583996,435.952,20,422.729018195375,3,1044.50381472244,32.1607194866176,780.446198913422,66.3807154281305,500,10000,224,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,477.049939781808,28.4042228049645,55.1109279375745,7.1095328686973,435.952,20,437.434691222893,3,964.753852399307,56.76339896284,735.367192888191,49.3694266901852,500,10000,314,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,432.35498962051,8.94274851960599,51.0497407931642,13.485804111951,435.952,20,439.688845912573,3,918.875625951516,9.67966007869219,772.033794769909,109.256361659767,500,10000,439,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,396.043561875581,25.2960172080836,17.6646391660543,10.9727976264019,435.952,20,474.252541509797,3,871.021148287686,38.8164384906232,693.909293635869,59.4893385658971,500,10000,614,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,362.371490077957,13.769668716961,13.8303072541724,16.3922288062632,435.952,20,438.293416708152,3,836.077444665402,48.8651963999777,585.544632350586,106.6169576921,500,10000,858,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,4,SpotsMultiSize_WC_inh,22,195,1,2038,Left,371.587979438404,8.22011989029533,18.6521977312265,13.0087502604609,435.952,20,434.965855830934,3,832.271797143733,44.0992173468214,623.923832146953,24.6042968849164,500,10000,1200,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
