inj_current,fr_per_current_mean,fr_per_current_sem,cell_type,cell_name,cell_unid,dataset_name,file_name,source_id
-55.0,0.0,0.0,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
-18.0,0.0,0.0,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
18.0,7.6,2.7748873851023217,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
55.0,37.2,9.476286192385707,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
91.0,39.2,6.465291950097845,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
127.0,43.2,2.966479394838265,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
164.0,42.0,4.06201920231798,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
200.0,32.4,4.147288270665544,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
-200.0,6.4,1.7888543819998317,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
-164.0,8.0,1.4142135623730951,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
-127.0,4.8,0.5477225575051661,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
-91.0,8.4,1.3038404810405297,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
-55.0,7.2,0.8944271909999159,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
-18.0,3.2,1.140175425099138,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
18.0,71.2,7.402702209328699,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
55.0,130.0,3.391164991562634,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
91.0,148.0,5.0990195135927845,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
127.0,180.4,7.429670248402683,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
164.0,190.4,5.403702434442518,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
200.0,217.6,4.43846820423443,Local edge detector,011323Ac14,6916,MultiPulse,011323A,8
-250.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
-205.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
-159.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
-114.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
-68.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
-23.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
23.0,0.0,0.0,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
68.0,27.2,3.4351128074635335,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
114.0,52.8,2.792848008753788,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
159.0,88.4,4.54972526643093,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
205.0,109.2,2.8809720581775866,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
250.0,132.0,5.291502622129181,ON transient small RF,011323Ac6,6917,MultiPulse,011323A,9
-200.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
-164.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
-127.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
-91.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
-55.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
-18.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
18.0,0.0,0.0,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
55.0,13.6,2.6832815729997477,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
91.0,24.0,3.9370039370059056,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
127.0,29.6,4.147288270665544,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
164.0,34.4,2.3874672772626644,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
200.0,38.4,2.7748873851023217,F-mini-OFF,011323Ac3,6921,MultiPulse,011323A,13
-200.0,0.0,0.0,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
-164.0,0.0,0.0,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
-127.0,0.0,0.0,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
-91.0,0.0,0.0,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
-55.0,0.0,0.0,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
-18.0,0.0,0.0,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
18.0,0.8,0.894427190999916,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
55.0,14.4,1.9235384061671346,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
91.0,24.8,1.1401754250991378,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
127.0,28.4,1.6431676725154982,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
164.0,25.2,0.8944271909999159,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
200.0,28.4,0.8366600265340756,F-mini-ON,011323Ac4,6923,MultiPulse,011323A,15
-300.0,0.0,0.0,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
-245.0,0.0,0.0,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
-191.0,0.0,0.0,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
-136.0,0.0,0.0,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
-82.0,0.8,0.8944271909999161,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
-27.0,0.0,0.0,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
27.0,0.8,0.8944271909999161,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
82.0,22.4,1.0954451150103324,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
136.0,64.0,3.391164991562634,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
191.0,95.6,2.16794833886788,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
245.0,120.8,2.302172886644268,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
300.0,143.6,3.1937438845342627,OFF transient medium RF,011423Ac13,6895,MultiPulse,011423A,2
-200.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
-164.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
-127.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
-91.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
-55.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
