file_name,dataset_name,source_id,cell_unid,animal_id,file_name_1,depol_overshoot_max,pre_time_ms,sag_amplitude,stim_time_ms,vrest,cell_name,cell_type,file_name_2,file_name_3,file_name_4,file_name_5,capacitance_mean,current_max_number_of_spike_max,depol_overshoot_mean,first_ap_peak_amplitude_mean,first_ap_trough_amplitude_mean,first_current_level_to_block_mean,half_max_spike_current_mean,half_max_spike_number_mean,half_width_time_mean,isi_cv_at_max_spikes_mean,max_adaptation_index_max,max_ahp_after_depol_injection_max,max_isi_cv_max,max_latency_of_spike_max,max_number_of_spike_max,max_slope_max,resistance_mean,resting_vm_mean,sag_mean,spontaneous_firing_rate_mean,tau_mean,v_threshold_mean
100925B,MultiPulse_Whole_cell_CC,3,10843,3592,100925B,51.8682,500,4.52639,500,-53.159,100925Bc4,ON transient - subtype unknown,100925B,100925B,100925B,100925B,8.33577022257788,124.764,26.8673217960065,3.13821227478567,-53.2081020247123,64.0760033333333,39.2999304761905,10.6666666666667,0,0.347428191655014,0.424869175180663,-0.618649674029754,1.99829895231337,297.28,24,8.85948571132538,152.877180983224,-53.1589883391712,NaN,0,12.6758481858482,-53.0631286300142
100925B,MultiPulse_whole_cell_CC,5,10845,3592,100925B,56.153,500,13.9497,500,-52.2765,100925Bc1,ON DS sustained - dorsonasal,100925B,100925B,100925B,100925B,13.2737392016294,300,21.3486687336092,11.6243306462418,-51.4981414296846,348.901303333333,120.343394973545,24.8444444444444,0.346666666666667,0.0756132645921704,0.299821369258645,-2.65727407485943,0.640312334640739,116.04,54,130.476017597259,78.6735130847804,-52.2764980946233,NaN,0.0444444444444444,10.4136902822865,-53.0337851346602
101525B,MultiPulse_CC_Whole_cell,3,10848,3287,101525B,60.0834,500,12.7577,500,-57.3383,101525Bc2,ON DS sustained - dorsonasal,101525B,101525B,101525B,101525B,14.6270207717223,223.929,40.0147932369922,3.70985920242744,-56.9426964456288,15.208,80.14525,20.1666666666667,0,0.362145878898659,0.623798191337458,-7.70170926210453,2.51601747964287,74.2,48,19.3297813449949,122.626734100928,-57.3382716304179,NaN,0,17.8902460547591,-56.5024069835029
101525B,MultiPulse_CC_WholeCell,5,10850,3287,101525B,49.0332,500,8.50511,500,-50.4045,101525Bc11,OFF transient alpha,101525B,101525B,101525B,101525B,6412.06137865787,300,41.595539513653,-6.08389629370983,-53.5170296785237,999,102.186101666667,29.0444444444444,0.52,1.37633268808087,0.0869522443884665,-8.99451810619595,1.77852531566044,77.8,60,209.405952406285,103.11638133253,-50.4045305723344,NaN,18.1777777777778,6663.71523059264,-49.9732364862408
101525B,MultiPulse_CC_Whole_cell,6,10851,3287,101525B,64.4326,500,4.92909,500,-64.0938,101525Bc7,M2,101525B,101525B,101525B,101525B,417.77187538253,300,37.1346560710411,7.62950921676211,-66.2639467166685,349.829233333333,128.939905092593,22.6666666666667,0,0.3004196421995,0.773578048337271,-4.59142448599522,1.09400456751268,144.12,46,20.9405970853304,225.219023891699,-64.0937686500185,NaN,0,954.202310004046,-65.2545025453207
101525B,MultiPulse_Whole_cell_CC,7,10852,3287,101525B,70.8436,500,8.34402,500,-66.7488,101525Bc8,ON transient small RF,101525B,101525B,101525B,101525B,24.9346867091494,223.929,51.0370638531218,12.8378113620257,-66.9297503200724,435.99137,50.4388166666667,19.5,0,0.249369724579564,0.310756419153366,2.28137986297526,0.539487010927293,246.2,44,32.2163032498601,175.854852782568,-66.748851223906,NaN,0,43.748827074595,-66.059910128833
101525B,MultiPulse_whole_cell_CC,9,10854,3287,101525B,63.3695,500,8.63397,500,-62.2915,101525Bc10,ON transient medium RF,101525B,101525B,101525B,101525B,26.3725450366146,223.929,45.5688834942633,7.53286031564205,-59.4555681012125,339.240416666667,67.2026604166667,25.3777777777778,0.226666666666667,0.323273554233991,0.208609071407485,0.755105829379929,1.10869717505888,365.9,53,172.35720703212,159.930630820169,-62.2914772872312,NaN,0.177777777777778,41.816963551713,-58.4568627308779
110325B,MultiPulse_Whole_cell,4,10862,3899,110325B,62.9829,500,1.86855,500,-60.5292,110325Bc1,OFF transient medium RF,110325B,110325B,110325B,110325B,5998.92759192811,300,27.8778390572996,5.7180086708954,-58.1991322350286,343.184236666667,123.965117361111,23.1111111111111,0.486666666666667,0.739308438057043,0.377349186400336,-3.02557814549643,1.26737874463515,376.08,54,246.454699808553,134.80099076019,-60.5292289587675,NaN,0.444444444444444,8235.16806840602,-60.2824531320155
110325B,MultiPulse_Whole_cell,3,10863,3899,110325B,67.622,500,2.7706,500,-62.6681,110325Bc2,M2,110325B,110325B,110325B,110325B,14.4969057898223,300,44.3983580636451,11.4095553206649,-62.5268555750109,336.899516666667,129.461449166667,24.4,0.24,0.274472706631402,0.355363985348004,-3.80136501789874,0.806173571289556,195.8,50,243.2330689173,172.713132354096,-62.6680946558062,NaN,0.266666666666667,24.5649940155329,-60.1535879277941
110325B,MultiPulse_Whole_cell,5,10864,3899,110325B,58.5692,500,7.24867,500,-55.0535,110325Bc3,ON-OFF DS - dorsal,110325B,110325B,110325B,110325B,51.8126878123669,223.929,49.7011609142129,1.94870140134831,-56.6527497256539,442.636366666667,79.9428491666667,27.1333333333333,1.04,0.15268129793904,0.455787559914054,-4.8043398270386,1.251182539803,106.5,56,117.58949804935,186.670990924008,-55.0535235708044,NaN,1.86666666666667,96.6077560464117,-52.2176388279394
110325B,MultiPulse_Whole_cell,2,10865,3899,110325B,55.0577,500,4.60693,500,-63.2534,110325Bc4,ON transient medium RF,110325B,110325B,110325B,110325B,5420.32318281211,300,15.5883941169899,4.12867112620527,-63.9014178143053,106.347066666667,194.144737962963,14.3333333333333,0,1.0903862202559,0.939060939060939,-4.20628936433884,1.61932116474026,54.38,33,49.9352700544549,64.3473193487197,-63.2533887553021,NaN,0,2263.3324387271,-63.4503895718107
110425B,MultiPulse_whole_cell,3,10868,3900,110425B,67.2676,500,0.837624,500,-61.9837,110425Bc3,OFF transient small RF,110425B,110425B,110425B,110425B,15.7650798450476,300,50.4120674354987,8.306051558856,-62.65572076471,341.360336666667,118.328286923077,32.0444444444444,0.333333333333333,0.170279532413582,0.212640480694336,-2.48802103319974,0.799310897839215,327.92,68,248.065513536985,223.16232132395,-61.9836972050188,NaN,0.177777777777778,35.2089137783038,-46.0858030542754
120925B,MultiPulse_WholeCell,3,10873,3981,120925B,62.1775,500,7.66748,500,-62.4164,120925Bc1,ON-OFF DS - nasal,120925B,120925B,120925B,120925B,8.78894214498295,300,23.5221951480604,7.64024798642742,-62.9456674931666,43.1154333333333,151.088716880342,34.8333333333333,0,0.135590401638253,0.36220880069025,-6.0796048035476,0.854122522522069,77.36,71,16.1081514050551,91.6513874246265,-62.4164406907984,NaN,0,8.14454325379459,-62.3228189710139
120925B,MultiPulse_WholeCell,5,10874,3981,120925B,72.9377,500,16.978,500,-57.6963,120925Bc2,ON-OFF DS - ventral,120925B,120925B,120925B,120925B,559.469950742069,300,45.9855479747403,17.187012191865,-60.5401835539998,343.184236666667,132.204571111111,32.7,0.3,0.159031724045287,0.230287576987293,-6.63510176572659,0.752848796634693,426.4,66,288.335892391963,70.8034134115775,-57.696317243893,NaN,0.133333333333333,374.810825274698,-57.3292920722276
120925B,MultiPulse_Whole_cell_CC,4,10876,3981,120925B,64.9158,500,13.0154,500,-56.8872,120925Bc4,ON-OFF DS - ventral,120925B,120925B,120925B,120925B,1920.28607694377,300,55.5817097724127,6.54489373553642,-59.7240372190111,999,122.382474583333,35.6666666666667,0.66,0.111210991828801,0.116547815759343,-8.96843011819271,0.387823685254551,100.14,69,211.016768215084,98.1596105025646,-56.887153323213,NaN,6.66666666666667,1975.17946914512,-56.5131457603045
120925B,MultiPulse_Whole_cell_CC,2,10877,3981,120925B,57.5705,500,4.31699,500,-60.2557,120925Bc5,F-mini-ON,120925B,120925B,120925B,120925B,2129.68137317634,300,12.2121257702282,7.28586866571825,-60.5187060142088,167.147,209.7335,2.5,0,0.376144942813426,0.396825396825397,-3.37732217165074,0.561195858084562,5.76,5,19.3297815342401,54.7068134388808,-60.2557131105303,NaN,0,1160.21621215158,-60.303930663533
012026A,MultiPulse_Whole_cell_Voltage_clamp,3,10910,3619,012026A,56.1929,500,7.79295,500,-51.7403,012026Ac2,ON vertical OS small RF,012026A,012026A,012026A,012026A,5359.87024705775,124.764,46.9809228259881,1.11847098620495,-55.0637116526736,205.001666666667,48.0727858730159,21.0777777777778,0.833333333333333,0.274207002016109,0.151349006991262,-10.5253766155747,2.2445008922288,58.58,38,148.130292775815,144.784908016535,-51.7402865350449,NaN,14.3111111111111,6290.89068265329,-51.3497176325051
012026A,MultiPulse_Whole_cell_Voltage_clamp,2,10915,3619,012026A,48.9474,500,5.37778,500,-48.9902,012026Ac7,OFF sustained alpha,012026A,012026A,012026A,012026A,10013.1054854976,6.83762,40.4159611140407,-6.28804184828529,-54.4518686790001,93.8802666666667,4.80585466666667,15.4111111111111,0.806666666666667,0.658562678687714,0.953108220976017,-8.57330814166085,1.58698377525638,234.98,20,111.09773416338,101.456707593936,-48.9902159189485,NaN,27.6444444444444,10284.1536954847,-44.6409141178606
012026A,MultiPulse_Whole_cell_Voltage_clamp,6,10916,3619,012026A,53.8421,500,2.64059,500,-47.2963,012026Ac8,OFF vertical OS - asymmetric,012026A,012026A,012026A,012026A,4.66472202011735,51.8867,43.419348906787,6.52844489490319,-49.3961139111735,42.1333,15.4545025555556,6.71111111111111,1.34666666666667,0.890968117089942,0.761456371625863,-0.980137840259921,1.0768619279087,96.02,13,90.1662547443305,217.168235684101,-47.2962857141466,NaN,4.17777777777778,10.2067075321953,-47.6893942980316
012926A,MultiPulse_Whole_cell_Voltage_clamp,6,10975,4273,012926A,52.9083,500,5.5871,500,-50.7193,012926Ac12,OFF transient alpha,012926A,012926A,012926A,012926A,6759.05749394789,167.147,48.0854822307221,2.77045497577132,-51.8606757833952,7.3409,84.6113955555555,6.2,0.386666666666667,2.13553425860116,0.775774246128769,-8.13976245418786,2.13553425860116,377.18,13,261.643244229892,54.2816669449533,-50.7193178212799,NaN,0.8,3533.45534888235,-51.9787508631607
012926A,MultiPulse_Whole_cell_Voltage_clamp,4,10977,4273,012926A,44.7933,500,14.6038,500,-48.5448,012926Ac14,OFF vertical OS - asymmetric,012926A,012926A,012926A,012926A,2182.79215416219,69.5132,31.2962974001745,2.24985192077166,-50.5994194911294,77.3846333333333,21.5387724444444,19.8777777777778,0.706666666666667,0.23207183972582,0.0875393544491865,-5.26521981918592,2.10585207812545,58.26,41,181.942677194588,153.722591557107,-48.5448298953513,NaN,14.8444444444444,3318.42509708159,-51.1092890537949
012926A,MultiPulse_Whole_cell_Voltage_clamp_incomplete,4,10977,4273,012926A,50.2838,500,13.5089,500,-48.5721,012926Ac14,OFF vertical OS - asymmetric,012926A,012926A,012926A,012926A,3265.60980706465,69.5132,38.5954679719507,5.68743969936689,-51.9062957452025,81.32035,23.281962,20.75,0.69,0.223585558603347,0.0875393544491865,-5.26521981918592,0.578440862430978,58.26,41,181.942677194588,150.600885222158,-48.5721316501023,NaN,15,4963.91508323818,-49.9097537040378
012926A,MultiPulse_Whole_cell_Voltage_clamp,15,10984,4273,012926A,45.1476,500,2.8016,500,-42.9583,012926Ac6,OFF sustained alpha,012926A,012926A,012926A,012926A,11042.9318348272,69.5132,35.6124677726358,2.58260861794703,-47.3630894537854,71.7213666666667,16.2524362222222,11.7222222222222,0.753333333333333,0.251618615321296,0.193262411347518,-3.54057284252981,1.47373438909105,69.02,22,156.180884848992,112.15419545189,-42.9583071733243,NaN,12.8888888888889,12354.6360618757,-39.6023408658546
011626B,MultiPulse_whole_cell_CC,3,10988,3977,011626B,60.6633,500,3.83374,500,-63.8603,011626Bc1,ON alpha,011626B,011626B,011626B,011626B,39687.5276754128,500,7.19067851189761,12.6015584788148,-64.1484094699741,572.895333333333,391.216714285714,5.66666666666667,0,1.35191704561048,0.135074222782461,-2.76694753023778,1.40550361337634,37.04,17,41.8811937008901,28.3262990398022,-63.8603349851403,NaN,0,11393.7172010468,-63.3107855906588
