file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,8.25278950631608,1.53818492199587,-11.3978392442603,8.40428808796559,-422.14,-65,-434.390815288137,3,-152.63614881632,19.6555924233588,-107.103777653958,13.0194352391419,500,50000,614,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,-32.3022448360605,16.7699045781984,-8.45544292532422,4.83655717640257,-422.14,-65,-431.598735930172,3,-331.223328050692,93.8102508505463,-120.313947047607,34.9166941923143,500,50000,858,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,-26.5488603312262,4.07895086965345,3.34037501710535,8.66043615765379,-422.14,-65,-429.450982577093,3,-340.41472413891,15.0947744837777,-107.168708520203,3.19574217039332,500,50000,1200,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,5.83477386700828,10.5461162582226,2.57405323437637,6.45099397192224,1154.08,20,1171.69932062875,3,275.709898179353,64.4638415573606,249.292519514033,45.7889647708073,500,50000,30,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,-4.36868225488007,10.6580665100735,-16.8014336068806,18.285877667442,1154.08,20,1160.74576687269,3,266.03497231701,45.7471293989348,239.402817874902,41.4563968755373,500,50000,42,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,6.199767465174,11.9572794934523,-15.2216437569998,8.03937330037818,1154.08,20,1100.39387893595,3,316.387619781493,99.0613554549265,246.370824957603,43.4282827009187,500,50000,59,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,20.7947482583139,9.64316028832917,-9.30712000968094,4.40999553346976,1154.08,20,1099.53478087567,3,263.501226191706,22.3463632067865,228.063283334046,46.5942152063835,500,50000,82,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,124.358340729937,31.0015054644218,-18.1128083450999,9.24438503459425,1154.08,20,1198.97578953871,3,521.439369389842,87.13318168661,304.945722259485,41.1373293237616,500,50000,115,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,316.483686221014,25.7653478939094,-2.2646385585677,8.72450721360413,1154.08,20,1177.28347425987,3,850.431307718822,44.3839208557216,398.973280515946,56.9376138890559,500,50000,160,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,292.989472674117,18.8560611006074,-13.2842738545303,17.1125677881076,1154.08,20,1221.52720843519,3,844.768566639461,53.0911430981499,287.211475301226,42.5791308879232,500,50000,224,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,165.878152736371,11.5754682687768,7.02956075385478,12.5538397906954,1154.08,20,1140.55687821198,3,564.134476203106,35.0049895465677,365.467186206557,7.27919715601967,500,50000,314,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,95.072061103085,44.4561084142663,78.6654633174512,27.8737741841153,1154.08,20,1242.78998301003,3,354.371536983139,24.8075296288469,496.123332930244,75.8704970653877,500,50000,439,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,34.3466469511669,45.4069800757997,143.360245616788,31.0777252790498,1154.08,20,1158.38323895731,3,242.34895797304,44.0279669924181,470.225695680887,42.7104999143947,500,50000,614,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,2.68971898132616,31.7881622087782,177.335503171631,8.39795396385933,1154.08,20,1163.32307386121,3,278.05107428274,43.7029535048252,508.934674411921,48.6878029747139,500,50000,858,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,4,SMS_VC_whole_cell_inhibition,6,11109,1,4277,Right,-62.9364141941378,69.1000713435534,157.457679123775,25.5925783432264,1154.08,20,1112.42130265395,3,-269.639879842698,35.6057813916118,501.189084365464,7.33590360980208,500,50000,1200,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
